accession_name,block,common_name,experiment,minicore_id,plot_name,plot_number,population_name,range,row,seedlot_name,sort,first flower date,seed count
TVu-1811,,,GHC2501,MinicoreUCR_214,GHC2501_320,320,UCR_mini_core,,,UCR_MinicoreUCR_214_2025,220,3/16/26,41
TVu-14633,1,,GHC2501,MinicoreUCR_157,GHC2501_112,112,UCR_mini_core,,,UCR_MinicoreUCR_157_2025,12,3/30/26,42
TVu-10513,,,GHC2501,MinicoreUCR_112,GHC2501_231,231,UCR_mini_core,,,UCR_MinicoreUCR_112_2025,131,,42
TVu-14190,,,GHC2501,MinicoreUCR_142,GHC2501_259,259,UCR_mini_core,,,UCR_MinicoreUCR_142_2025,159,3/16/26,42
TVu-1036,,,GHC2501,MinicoreUCR_108,GHC2501_227,227,UCR_mini_core,,,UCR_MinicoreUCR_108_2025,127,,43
TVu-2933,,,GHC2501,MinicoreUCR_232,GHC2501_335,335,UCR_mini_core,,,UCR_MinicoreUCR_232_2025,235,3/16/26,43
TVu-7684,,,GHC2501,MinicoreUCR_293,GHC2501_377,377,UCR_mini_core,,,UCR_MinicoreUCR_293_2025,277,,43
TVu-1037,,,GHC2501,MinicoreUCR_110,GHC2501_229,229,UCR_mini_core,,,UCR_MinicoreUCR_110_2025,129,,44
TVu-14253,,,GHC2501,MinicoreUCR_146,GHC2501_263,263,UCR_mini_core,,,UCR_MinicoreUCR_146_2025,163,3/16/26,44
TVu-21,,,GHC2501,MinicoreUCR_218,GHC2501_322,322,UCR_mini_core,,,UCR_MinicoreUCR_218_2025,222,3/30/26,44
UCR_3326,,UCR 3326,GHC2501,MinicoreUCR_369,GHC2501_435,435,UCR_mini_core,,,UCR_MinicoreUCR_369_2025,335,3/16/26,44
UCR_5385,,UCR 5385,GHC2501,MinicoreUCR_379,GHC2501_442,442,UCR_mini_core,,,UCR_MinicoreUCR_379_2025,342,3/12/26,44
IT98K-128-4,,,GHC2501,MinicoreUCR_069,GHC2501_194,194,UCR_mini_core,,,UCR_MinicoreUCR_069_2025,94,3/23/26,45
TVu-14759,,,GHC2501,MinicoreUCR_159,GHC2501_275,275,UCR_mini_core,,,UCR_MinicoreUCR_159_2025,175,3/16/26,45
TVu-1609,,,GHC2501,MinicoreUCR_192,GHC2501_302,302,UCR_mini_core,,,UCR_MinicoreUCR_192_2025,202,3/13/26,45
TVu-8671,,,GHC2501,MinicoreUCR_314,GHC2501_393,393,UCR_mini_core,,,UCR_MinicoreUCR_314_2025,293,,45
Ife_Brown,,Ife Brown,GHC2501,MinicoreUCR_033,GHC2501_161,161,UCR_mini_core,,,UCR_MinicoreUCR_033_2025,61,3/5/26,46
TVu-43,,,GHC2501,MinicoreUCR_254,GHC2501_353,353,UCR_mini_core,,,UCR_MinicoreUCR_254_2025,253,4/1/26,46
TVu-8622,,,GHC2501,MinicoreUCR_310,GHC2501_390,390,UCR_mini_core,,,UCR_MinicoreUCR_310_2025,290,,46
TVu-9474,,,GHC2501,MinicoreUCR_338,GHC2501_408,408,UCR_mini_core,,,UCR_MinicoreUCR_338_2025,308,4/1/26,47
TVu-9492,,,GHC2501,MinicoreUCR_340,GHC2501_410,410,UCR_mini_core,,,UCR_MinicoreUCR_340_2025,310,,47
TVu-9866,,,GHC2501,MinicoreUCR_356,GHC2501_425,425,UCR_mini_core,,,UCR_MinicoreUCR_356_2025,325,,47
TVu-9522,,,GHC2501,MinicoreUCR_344,GHC2501_414,414,UCR_mini_core,,,UCR_MinicoreUCR_344_2025,314,4/1/26,48
TVu-972,,,GHC2501,MinicoreUCR_351,GHC2501_420,420,UCR_mini_core,,,UCR_MinicoreUCR_351_2025,320,3/16/26,48
INIA-72,,,GHC2501,MinicoreUCR_040,GHC2501_168,168,UCR_mini_core,,,UCR_MinicoreUCR_040_2025,68,3/31/26,49
IT85F-867-5,,,GHC2501,MinicoreUCR_047,GHC2501_174,174,UCR_mini_core,,,UCR_MinicoreUCR_047_2025,74,3/26/26,50
TVu-12873,,,GHC2501,MinicoreUCR_122,GHC2501_241,241,UCR_mini_core,,,UCR_MinicoreUCR_122_2025,141,3/13/26,50
58-57,,,GHC2501,MinicoreUCR_005,GHC2501_142,142,UCR_mini_core,,,UCR_MinicoreUCR_005_2025,42,3/30/26,51
TVu-14875,,,GHC2501,MinicoreUCR_162,GHC2501_278,278,UCR_mini_core,,,UCR_MinicoreUCR_162_2025,178,,51
TVu-16368,,,GHC2501,MinicoreUCR_199,GHC2501_308,308,UCR_mini_core,,,UCR_MinicoreUCR_199_2025,208,,51
UCR_5164,,UCR 5164,GHC2501,MinicoreUCR_372,GHC2501_436,436,UCR_mini_core,,,UCR_MinicoreUCR_372_2025,336,3/10/26,51
Vg58,,,GHC2501,MinicoreUCR_398,GHC2501_460,460,UCR_mini_core,,,UCR_MinicoreUCR_398_2025,360,3/16/26,51
Vazzano_Brown,,Vazzano Brown,GHC2501,MinicoreUCR_389,GHC2501_451,451,UCR_mini_core,,,UCR_MinicoreUCR_389_2025,351,3/16/26,52
Cp_5647,,Cp 5647,GHC2501,MinicoreUCR_394,GHC2501_456,456,UCR_mini_core,,,UCR_MinicoreUCR_394_2025,356,3/16/26,52
TVu-14346,,,GHC2501,MinicoreUCR_151,GHC2501_268,268,UCR_mini_core,,,UCR_MinicoreUCR_151_2025,168,3/16/26,53
TVu-15636,,,GHC2501,MinicoreUCR_179,GHC2501_292,292,UCR_mini_core,,,UCR_MinicoreUCR_179_2025,192,3/16/26,53
TVu-8082,,,GHC2501,MinicoreUCR_304,GHC2501_386,386,UCR_mini_core,,,UCR_MinicoreUCR_304_2025,286,,53
TVu-9506,,,GHC2501,MinicoreUCR_341,GHC2501_411,411,UCR_mini_core,,,UCR_MinicoreUCR_341_2025,311,3/16/26,53
TVu-264,,,GHC2501,MinicoreUCR_226,GHC2501_330,330,UCR_mini_core,,,UCR_MinicoreUCR_226_2025,230,,54
KVx-396-4-5-20,,KVx 396-4-5-20,GHC2501,MinicoreUCR_076,GHC2501_200,200,UCR_mini_core,,,UCR_MinicoreUCR_076_2025,100,3/30/26,55
TVu-8631,,,GHC2501,MinicoreUCR_311,GHC2501_391,391,UCR_mini_core,,,UCR_MinicoreUCR_311_2025,291,4/1/26,55
TVu-9557,,,GHC2501,MinicoreUCR_346,GHC2501_416,416,UCR_mini_core,,,UCR_MinicoreUCR_346_2025,316,3/13/26,55
IT97K-569-9,,,GHC2501,MinicoreUCR_064,GHC2501_191,191,UCR_mini_core,,,UCR_MinicoreUCR_064_2025,91,3/27/26,56
TVu-16465,,,GHC2501,MinicoreUCR_204,GHC2501_312,312,UCR_mini_core,,,UCR_MinicoreUCR_204_2025,212,3/23/26,56
UCR_193,,UCR 193,GHC2501,MinicoreUCR_362,GHC2501_431,431,UCR_mini_core,,,UCR_MinicoreUCR_362_2025,331,3/16/26,56
Vazzano_Black,,Vazzano Black,GHC2501,MinicoreUCR_390,GHC2501_452,452,UCR_mini_core,,,UCR_MinicoreUCR_390_2025,352,3/13/26,56
TVu-9620,,,GHC2501,MinicoreUCR_347,GHC2501_417,417,UCR_mini_core,,,UCR_MinicoreUCR_347_2025,317,3/25/26,58
Vg62,,,GHC2501,MinicoreUCR_399,GHC2501_461,461,UCR_mini_core,,,UCR_MinicoreUCR_399_2025,361,3/13/26,58
TVu-13965,,,GHC2501,MinicoreUCR_138,GHC2501_255,255,UCR_mini_core,,,UCR_MinicoreUCR_138_2025,155,3/19/26,59
TVu-4622,,,GHC2501,MinicoreUCR_260,GHC2501_358,358,UCR_mini_core,,,UCR_MinicoreUCR_260_2025,258,3/23/26,59
TVu-9469,,,GHC2501,MinicoreUCR_337,GHC2501_407,407,UCR_mini_core,,,UCR_MinicoreUCR_337_2025,307,,59
TVu-16521,,,GHC2501,MinicoreUCR_207,GHC2501_315,315,UCR_mini_core,,,UCR_MinicoreUCR_207_2025,215,,60
TVu-8877,,,GHC2501,MinicoreUCR_322,GHC2501_398,398,UCR_mini_core,,,UCR_MinicoreUCR_322_2025,298,,60
TVu-9749,,,GHC2501,MinicoreUCR_352,GHC2501_421,421,UCR_mini_core,,,UCR_MinicoreUCR_352_2025,321,3/13/26,60
