accession_name,Minicore #,DNA ID,Seedlot,AKA,Short Day
TVu-3804,MinicoreUCR_244,5272,GH (2016-2018),,
TVu-3817,MinicoreUCR_245,5129,GH (2016-2018),,
TVu-3842,MinicoreUCR_247,5131,GH (2016-2018),,
TVu-393,MinicoreUCR_248,5132,GH (2016-2018),,
TVu-3947,MinicoreUCR_249,5133,GH (2016-2018),,
TVu-3965,MinicoreUCR_250,5134,GH (2016-2018),,
TVu-415,MinicoreUCR_253,5137,GH (2016-2018),,
TVu-43,MinicoreUCR_254,5138,GH (2016-2018),,
TVu-4316,MinicoreUCR_255,5139,GH (2016-2018),,
TVu-4535,MinicoreUCR_256,5140,GH (2016-2018),,
TVu-4557,MinicoreUCR_258,5142,GH (2016-2018),,
TVu-456,MinicoreUCR_259,5143,GH (2016-2018),,
TVu-4622,MinicoreUCR_260,5144,GH (2016-2018),,
TVu-4669,MinicoreUCR_262,5146,GH (2016-2018),,
TVu-467,MinicoreUCR_263,5147,GH (2016-2018),,
TVu-4711,MinicoreUCR_264,5148,GH (2016-2018),,
TVu-4984,MinicoreUCR_265,5149,GH (2016-2018),,
TVu-53,MinicoreUCR_266,5150,GH (2016-2018),,
TVu-5444,MinicoreUCR_267,5151,GH (2016-2018),,
TVu-6356,MinicoreUCR_268,5152,GH (2016-2018),,
TVu-6365,MinicoreUCR_269,5153,GH (2016-2018),,
TVu-6439,MinicoreUCR_270,5154,GH (2016-2018),,
TVu-6464,MinicoreUCR_271,5155,GH (2016-2018),,
TVu-6493,MinicoreUCR_273,5157,GH (2016-2018),,
TVu-6641,MinicoreUCR_274,5158,GH (2016-2018),,
TVu-6663,MinicoreUCR_278,5162,GH (2016-2018),,
TVu-6968,MinicoreUCR_282,5166,GH (2016-2018),,
TVu-7362,MinicoreUCR_287,5720,GH (2016-2018),,
TVu-7559,MinicoreUCR_289,5173,GH (2016-2018),,
TVu-7625,MinicoreUCR_290,5174,GH (2016-2018),,
TVu-7642,MinicoreUCR_291,5175,GH (2016-2018),,
TVu-7684,MinicoreUCR_293,5177,GH (2016-2018),,
TVu-7719,MinicoreUCR_294,5178,GH (2016-2018),,
TVu-7739,MinicoreUCR_295,5179,GH (2016-2018),,
TVu-7755,MinicoreUCR_296,5180,GH (2016-2018),,
TVu-7778,MinicoreUCR_297,5181,GH (2016-2018),,
TVu-7971,MinicoreUCR_299,5183,GH (2016-2018),,
TVu-8,MinicoreUCR_301,5185,GH (2016-2018),,
TVu-8059,MinicoreUCR_302,5186,GH (2016-2018),,
TVu-8072,MinicoreUCR_303,5187,GH (2016-2018),,
