seedlot_name,population_name,accession_name,common_name,minicore_id,short_day,DNA_id,year,amount,weight_gram,operator_name,description,box_name,quality,source
UCR_MinicoreUCR_071_2025,UCR_mini_core,IT98K-428-2,,MinicoreUCR_071,,4957,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_072_2025,UCR_mini_core,IT98K-498-1,,MinicoreUCR_072,,4958,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_073_2025,UCR_mini_core,IT98K-555-1,,MinicoreUCR_073,,4959,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_075_2025,UCR_mini_core,IT99K-124-5,,MinicoreUCR_075,,4961,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_076_2025,UCR_mini_core,KVx-396-4-5-20,KVx 396-4-5-20,MinicoreUCR_076,,4962,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_077_2025,UCR_mini_core,KVx-403-P-20-T,KVx 403-P-20-T,MinicoreUCR_077,,4963,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_078_2025,UCR_mini_core,KVx-421-25,KVx 421-25,MinicoreUCR_078,,4964,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_079_2025,UCR_mini_core,KVx-442-3,KVx 442-3,MinicoreUCR_079,,4965,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_080_2025,UCR_mini_core,KVx-525,KVx 525,MinicoreUCR_080,,4966,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_081_2025,UCR_mini_core,KVx-61-1-1,KVx61-1-1,MinicoreUCR_081,,4967,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_082_2025,UCR_mini_core,Lori_Niebe,Lori Niebe,MinicoreUCR_082,,4968,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_083_2025,UCR_mini_core,Lyg_321-2,Lyg 321-2,MinicoreUCR_083,,4969,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_084_2025,UCR_mini_core,Massava-11,,MinicoreUCR_084,,4970,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_085_2025,UCR_mini_core,Melakh,,MinicoreUCR_085,,4971,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_086_2025,UCR_mini_core,Montiero,,MinicoreUCR_086,1,4972,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_087_2025,UCR_mini_core,Mougne,,MinicoreUCR_087,,4973,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_088_2025,UCR_mini_core,Mouride,,MinicoreUCR_088,,4974,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_089_2025,UCR_mini_core,Moussa_Local,Moussa Local,MinicoreUCR_089,,4975,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_090_2025,UCR_mini_core,Muinana-Lawe,,MinicoreUCR_090,,4976,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_091_2025,UCR_mini_core,NamuesseD,,MinicoreUCR_091,,4977,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_092_2025,UCR_mini_core,N'diambour,,MinicoreUCR_092,,4978,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_093_2025,UCR_mini_core,Nhacoongo-1,,MinicoreUCR_093,,4979,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_094_2025,UCR_mini_core,Nhacoongo-3,,MinicoreUCR_094,1,4980,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_095_2025,UCR_mini_core,Pakau3,Pakau,MinicoreUCR_095,,4009,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_096_2025,UCR_mini_core,Prima,,MinicoreUCR_096,,4981,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_097_2025,UCR_mini_core,Sanzi,,MinicoreUCR_097,,4982,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_098_2025,UCR_mini_core,SASAQUE,,MinicoreUCR_098,,4983,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_099_2025,UCR_mini_core,Suvita-2,,MinicoreUCR_099,,4986,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_100_2025,UCR_mini_core,Tete-2,,MinicoreUCR_100,1,4987,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_102_2025,UCR_mini_core,TVu-1000,,MinicoreUCR_102,,4989,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_103_2025,UCR_mini_core,TVu-1004,,MinicoreUCR_103,,4990,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_104_2025,UCR_mini_core,TVu-10100,,MinicoreUCR_104,,4991,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_105_2025,UCR_mini_core,TVu-1016,,MinicoreUCR_105,,4992,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_106_2025,UCR_mini_core,TVu-10179,,MinicoreUCR_106,,4993,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_107_2025,UCR_mini_core,TVu-10281,,MinicoreUCR_107,1,5273,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_108_2025,UCR_mini_core,TVu-1036,,MinicoreUCR_108,,4994,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_109_2025,UCR_mini_core,TVu-10366,,MinicoreUCR_109,,4995,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_110_2025,UCR_mini_core,TVu-1037,,MinicoreUCR_110,,4996,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_111_2025,UCR_mini_core,TVu-10466,,MinicoreUCR_111,,4997,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_112_2025,UCR_mini_core,TVu-10513,,MinicoreUCR_112,,4998,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_113_2025,UCR_mini_core,TVu-1059,,MinicoreUCR_113,,4999,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_114_2025,UCR_mini_core,TVu-10892,,MinicoreUCR_114,,5000,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_115_2025,UCR_mini_core,TVu-1124,,MinicoreUCR_115,,5001,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_116_2025,UCR_mini_core,TVu-113,,MinicoreUCR_116,,5002,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_117_2025,UCR_mini_core,TVu-12565,,MinicoreUCR_117,,5003,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_118_2025,UCR_mini_core,TVu-12710,,MinicoreUCR_118,,5004,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_119_2025,UCR_mini_core,TVu-12746,,MinicoreUCR_119,,5005,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_120_2025,UCR_mini_core,TVu-1280,,MinicoreUCR_120,,5006,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_121_2025,UCR_mini_core,TVu-12804,,MinicoreUCR_121,,5007,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_122_2025,UCR_mini_core,TVu-12873,,MinicoreUCR_122,,5008,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_123_2025,UCR_mini_core,TVu-12897,,MinicoreUCR_123,,5009,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_124_2025,UCR_mini_core,TVu-12923,,MinicoreUCR_124,,5010,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_125_2025,UCR_mini_core,TVu-12937,,MinicoreUCR_125,,5011,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_126_2025,UCR_mini_core,TVu-12968,,MinicoreUCR_126,,5012,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_127_2025,UCR_mini_core,TVu-13017,,MinicoreUCR_127,,5013,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_128_2025,UCR_mini_core,TVu-132,,MinicoreUCR_128,,5014,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_129_2025,UCR_mini_core,TVu-1330,,MinicoreUCR_129,,5015,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_130_2025,UCR_mini_core,TVu-13305,,MinicoreUCR_130,1,5016,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_131_2025,UCR_mini_core,TVu-13388,,MinicoreUCR_131,,5017,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_132_2025,UCR_mini_core,TVu-13463,,MinicoreUCR_132,,5018,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_133_2025,UCR_mini_core,TVu-13485,,MinicoreUCR_133,1,5019,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_134_2025,UCR_mini_core,TVu-13778,,MinicoreUCR_134,,5020,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_135_2025,UCR_mini_core,TVu-13939,,MinicoreUCR_135,,5021,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_136_2025,UCR_mini_core,TVu-13950,,MinicoreUCR_136,,5022,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_137_2025,UCR_mini_core,TVu-13958,,MinicoreUCR_137,,5023,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_138_2025,UCR_mini_core,TVu-13965,,MinicoreUCR_138,,5024,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_139_2025,UCR_mini_core,TVu-13968,,MinicoreUCR_139,,5025,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_140_2025,UCR_mini_core,TVu-13979,,MinicoreUCR_140,,5026,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_141_2025,UCR_mini_core,TVu-14172,,MinicoreUCR_141,,5027,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_142_2025,UCR_mini_core,TVu-14190,,MinicoreUCR_142,,5028,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_143_2025,UCR_mini_core,TVu-14195,,MinicoreUCR_143,,5029,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_144_2025,UCR_mini_core,TVu-14224,,MinicoreUCR_144,,5030,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_145_2025,UCR_mini_core,TVu-14248,,MinicoreUCR_145,,5031,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_146_2025,UCR_mini_core,TVu-14253,,MinicoreUCR_146,,5032,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_147_2025,UCR_mini_core,TVu-14272,,MinicoreUCR_147,,5033,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_148_2025,UCR_mini_core,TVu-14321,,MinicoreUCR_148,,5034,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_149_2025,UCR_mini_core,TVu-14336,,MinicoreUCR_149,,5035,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_150_2025,UCR_mini_core,TVu-14345,,MinicoreUCR_150,,5036,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_151_2025,UCR_mini_core,TVu-14346,,MinicoreUCR_151,,5037,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_152_2025,UCR_mini_core,TVu-14393,,MinicoreUCR_152,,5038,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_153_2025,UCR_mini_core,TVu-14401,,MinicoreUCR_153,,5039,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_154_2025,UCR_mini_core,Tvu-14533,,MinicoreUCR_154,,5040,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_155_2025,UCR_mini_core,TVu-14621,,MinicoreUCR_155,,5041,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_156_2025,UCR_mini_core,TVu-14632,,MinicoreUCR_156,,5042,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_157_2025,UCR_mini_core,TVu-14633,,MinicoreUCR_157,1,5043,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_158_2025,UCR_mini_core,TVu-14691,,MinicoreUCR_158,,5044,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_159_2025,UCR_mini_core,TVu-14759,,MinicoreUCR_159,,5045,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_160_2025,UCR_mini_core,TVu-1477,,MinicoreUCR_160,,5046,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_161_2025,UCR_mini_core,TVu-14862,,MinicoreUCR_161,,5047,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_162_2025,UCR_mini_core,TVu-14875,,MinicoreUCR_162,,5048,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_163_2025,UCR_mini_core,TVu-14949,,MinicoreUCR_163,,5049,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_164_2025,UCR_mini_core,TVu-14970,,MinicoreUCR_164,,5050,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_165_2025,UCR_mini_core,TVu-14971,,MinicoreUCR_165,1,5051,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_166_2025,UCR_mini_core,TVu-15114,,MinicoreUCR_166,,5052,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_166_2026,UCR_mini_core,TVu-15114,,MinicoreUCR_166,,5052,2026,100,,W.Spivey,"Field10E, 2019",,,
UCR_MinicoreUCR_167_2025,UCR_mini_core,TVu-15143,,MinicoreUCR_167,,5053,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_168_2025,UCR_mini_core,TVu-15315,,MinicoreUCR_168,,5274,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_169_2025,UCR_mini_core,TVu-1536,,MinicoreUCR_169,,5054,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_170_2025,UCR_mini_core,TVu-15391,,MinicoreUCR_170,1,5055,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_171_2025,UCR_mini_core,TVu-15400,,MinicoreUCR_171,,5056,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_172_2025,UCR_mini_core,TVu-15411,,MinicoreUCR_172,,5057,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_173_2025,UCR_mini_core,TVu-15426,,MinicoreUCR_173,,5058,2025,5,,W.Spivey,,,,
