"accession_name","block","common_name","experiment","minicore_id","plot_name","plot_number","population_name","range","row","seedlot_name","sort","first flower date","seed count","Minicore #","DNA ID"
"Mouride",NA,NA,"GHC2501","MinicoreUCR_088","GHC2501_211",211,"UCR_mini_core",NA,NA,"UCR_MinicoreUCR_088_2025",111,"3/13/26",37,"MinicoreUCR_088",4974
"TVu-1059",NA,NA,"GHC2501","MinicoreUCR_113","GHC2501_232",232,"UCR_mini_core",NA,NA,"UCR_MinicoreUCR_113_2025",132,"3/16/26",37,"MinicoreUCR_113",4999
"TVu-15445",NA,NA,"GHC2501","MinicoreUCR_174","GHC2501_288",288,"UCR_mini_core",NA,NA,"UCR_MinicoreUCR_174_2025",188,"4/1/26",37,"MinicoreUCR_174",5059
"TVu-2723",NA,NA,"GHC2501","MinicoreUCR_228","GHC2501_332",332,"UCR_mini_core",NA,NA,"UCR_MinicoreUCR_228_2025",232,NA,37,"MinicoreUCR_228",5113
"TVu-3657",NA,NA,"GHC2501","MinicoreUCR_243","GHC2501_345",345,"UCR_mini_core",NA,NA,"UCR_MinicoreUCR_243_2025",245,NA,37,"MinicoreUCR_243",5128
"TVu-6641",NA,NA,"GHC2501","MinicoreUCR_274","GHC2501_370",370,"UCR_mini_core",NA,NA,"UCR_MinicoreUCR_274_2025",270,NA,37,"MinicoreUCR_274",5158
"TVu-9651",NA,NA,"GHC2501","MinicoreUCR_348","GHC2501_418",418,"UCR_mini_core",NA,NA,"UCR_MinicoreUCR_348_2025",318,"3/13/26",37,"MinicoreUCR_348",5232
"INIA-40",NA,NA,"GHC2501","MinicoreUCR_037","GHC2501_165",165,"UCR_mini_core",NA,NA,"UCR_MinicoreUCR_037_2025",65,"3/25/26",38,"MinicoreUCR_037",4923
"TVu-2845",NA,NA,"GHC2501","MinicoreUCR_231","GHC2501_334",334,"UCR_mini_core",NA,NA,"UCR_MinicoreUCR_231_2025",234,"3/23/26",38,"MinicoreUCR_231",5116
"TVu-6464",NA,NA,"GHC2501","MinicoreUCR_271","GHC2501_368",368,"UCR_mini_core",NA,NA,"UCR_MinicoreUCR_271_2025",268,"4/1/26",38,"MinicoreUCR_271",5155
"UCR_5353",NA,"UCR 5353","GHC2501","MinicoreUCR_378","GHC2501_441",441,"UCR_mini_core",NA,NA,"UCR_MinicoreUCR_378_2025",341,"3/13/26",38,"MinicoreUCR_378",5261
"TVu-12923",NA,NA,"GHC2501","MinicoreUCR_124","GHC2501_243",243,"UCR_mini_core",NA,NA,"UCR_MinicoreUCR_124_2025",143,NA,39,"MinicoreUCR_124",5010
"TVu-14224",NA,NA,"GHC2501","MinicoreUCR_144","GHC2501_261",261,"UCR_mini_core",NA,NA,"UCR_MinicoreUCR_144_2025",161,"3/12/26",39,"MinicoreUCR_144",5030
"Cp_4877",NA,"Cp 4877","GHC2501","MinicoreUCR_391","GHC2501_453",453,"UCR_mini_core",NA,NA,"UCR_MinicoreUCR_391_2025",353,"3/16/26",39,"MinicoreUCR_391",5885
"Vg73",NA,NA,"GHC2501","MinicoreUCR_402","GHC2501_463",463,"UCR_mini_core",NA,NA,"UCR_MinicoreUCR_402_2025",363,"3/20/26",39,"MinicoreUCR_402",5896
"IT98K-498-1",NA,NA,"GHC2501","MinicoreUCR_072","GHC2501_197",197,"UCR_mini_core",NA,NA,"UCR_MinicoreUCR_072_2025",97,"3/16/26",40,"MinicoreUCR_072",4958
"TVu-8072",NA,NA,"GHC2501","MinicoreUCR_303","GHC2501_385",385,"UCR_mini_core",NA,NA,"UCR_MinicoreUCR_303_2025",285,"3/16/26",40,"MinicoreUCR_303",5187
"KVx-403-P-20-T",NA,"KVx 403-P-20-T","GHC2501","MinicoreUCR_077","GHC2501_201",201,"UCR_mini_core",NA,NA,"UCR_MinicoreUCR_077_2025",101,"3/31/26",41,"MinicoreUCR_077",4963
"TVu-13778",NA,NA,"GHC2501","MinicoreUCR_134","GHC2501_251",251,"UCR_mini_core",NA,NA,"UCR_MinicoreUCR_134_2025",151,NA,41,"MinicoreUCR_134",5020
"TVu-14862",NA,NA,"GHC2501","MinicoreUCR_161","GHC2501_277",277,"UCR_mini_core",NA,NA,"UCR_MinicoreUCR_161_2025",177,NA,41,"MinicoreUCR_161",5047
"TVu-1811",NA,NA,"GHC2501","MinicoreUCR_214","GHC2501_320",320,"UCR_mini_core",NA,NA,"UCR_MinicoreUCR_214_2025",220,"3/16/26",41,"MinicoreUCR_214",5099
"TVu-10513",NA,NA,"GHC2501","MinicoreUCR_112","GHC2501_231",231,"UCR_mini_core",NA,NA,"UCR_MinicoreUCR_112_2025",131,NA,42,"MinicoreUCR_112",4998
"TVu-14190",NA,NA,"GHC2501","MinicoreUCR_142","GHC2501_259",259,"UCR_mini_core",NA,NA,"UCR_MinicoreUCR_142_2025",159,"3/16/26",42,"MinicoreUCR_142",5028
"TVu-1036",NA,NA,"GHC2501","MinicoreUCR_108","GHC2501_227",227,"UCR_mini_core",NA,NA,"UCR_MinicoreUCR_108_2025",127,NA,43,"MinicoreUCR_108",4994
"TVu-2933",NA,NA,"GHC2501","MinicoreUCR_232","GHC2501_335",335,"UCR_mini_core",NA,NA,"UCR_MinicoreUCR_232_2025",235,"3/16/26",43,"MinicoreUCR_232",5117
"TVu-7684",NA,NA,"GHC2501","MinicoreUCR_293","GHC2501_377",377,"UCR_mini_core",NA,NA,"UCR_MinicoreUCR_293_2025",277,NA,43,"MinicoreUCR_293",5177
"TVu-1037",NA,NA,"GHC2501","MinicoreUCR_110","GHC2501_229",229,"UCR_mini_core",NA,NA,"UCR_MinicoreUCR_110_2025",129,NA,44,"MinicoreUCR_110",4996
"TVu-14253",NA,NA,"GHC2501","MinicoreUCR_146","GHC2501_263",263,"UCR_mini_core",NA,NA,"UCR_MinicoreUCR_146_2025",163,"3/16/26",44,"MinicoreUCR_146",5032
"TVu-21",NA,NA,"GHC2501","MinicoreUCR_218","GHC2501_322",322,"UCR_mini_core",NA,NA,"UCR_MinicoreUCR_218_2025",222,"3/30/26",44,"MinicoreUCR_218",5103
"UCR_3326",NA,"UCR 3326","GHC2501","MinicoreUCR_369","GHC2501_435",435,"UCR_mini_core",NA,NA,"UCR_MinicoreUCR_369_2025",335,"3/16/26",44,"MinicoreUCR_369",5253
"UCR_5385",NA,"UCR 5385","GHC2501","MinicoreUCR_379","GHC2501_442",442,"UCR_mini_core",NA,NA,"UCR_MinicoreUCR_379_2025",342,"3/12/26",44,"MinicoreUCR_379",5262
"IT98K-128-4",NA,NA,"GHC2501","MinicoreUCR_069","GHC2501_194",194,"UCR_mini_core",NA,NA,"UCR_MinicoreUCR_069_2025",94,"3/23/26",45,"MinicoreUCR_069",4955
"TVu-14759",NA,NA,"GHC2501","MinicoreUCR_159","GHC2501_275",275,"UCR_mini_core",NA,NA,"UCR_MinicoreUCR_159_2025",175,"3/16/26",45,"MinicoreUCR_159",5045
"TVu-1609",NA,NA,"GHC2501","MinicoreUCR_192","GHC2501_302",302,"UCR_mini_core",NA,NA,"UCR_MinicoreUCR_192_2025",202,"3/13/26",45,"MinicoreUCR_192",5077
"TVu-8671",NA,NA,"GHC2501","MinicoreUCR_314","GHC2501_393",393,"UCR_mini_core",NA,NA,"UCR_MinicoreUCR_314_2025",293,NA,45,"MinicoreUCR_314",5198
