"experiment","plot_name","accession_name","common_name","plot_number","range","row","block","seedlot_name"
"CP2602","CP2602_524","IT93K-503-1",NA,524,5,24,"5","GHC2501_178_SL"
"CP2602","CP2602_525","IT84S-2049",NA,525,5,25,"5","GHC2501_172_SL"
"CP2602","CP2602_601","TVu-9516",NA,601,6,1,"6","GHC2501_413_SL"
"CP2602","CP2602_602","Lyg_321-2","Lyg 321-2",602,6,2,"6","GHC2501_207_SL"
"CP2602","CP2602_603","INIA-5E",NA,603,6,3,"6","GHC2501_167_SL"
"CP2602","CP2602_604","TVu-16403",NA,604,6,4,"6","GHC2501_310_SL"
"CP2602","CP2602_605","TVu-14272",NA,605,6,5,"6","GHC2501_264_SL"
"CP2602","CP2602_606","TVu-7684",NA,606,6,6,"6","GHC2501_377_SL"
"CP2602","CP2602_607","Ife_Brown","Ife Brown",607,6,7,"6","GHC2501_161_SL"
"CP2602","CP2602_608","Check2","Top Pick Pinkeye Pea",608,6,8,"6","Hoss_TopPickPinkeyePea_2024"
"CP2602","CP2602_609","TVu-6356",NA,609,6,9,"6","GHC2501_365_SL"
"CP2602","CP2602_610","Check3","Dixie Lee Pea",610,6,10,"6","KellySeedDillon_DixieLeaPea_2024"
"CP2602","CP2602_611","TVu-21",NA,611,6,11,"6","GHC2501_322_SL"
"CP2602","CP2602_612","IT96D-610",NA,612,6,12,"6","GHC2501_184_SL"
"CP2602","CP2602_613","TVu-415",NA,613,6,13,"6","GHC2501_352_SL"
"CP2602","CP2602_614","Dixie Lee Pea","Dixie Lee Pea",614,6,14,"6","KellySeedDillon_DixieLeaPea_2024"
"CP2602","CP2602_615","Check1","Coronet Pinkeye Purplehull",615,6,15,"6","KellySeedDillon_CoronetPinkeyePurplehull_2024"
"CP2602","CP2602_616","Vazzano_Black","Vazzano Black",616,6,16,"6","GHC2501_452_SL"
"CP2602","CP2602_617","TVu-13939",NA,617,6,17,"6","GHC2501_252_SL"
"CP2602","CP2602_618","TVu-12873",NA,618,6,18,"6","GHC2501_241_SL"
"CP2602","CP2602_619","TVu-14248",NA,619,6,19,"6","GHC2501_262_SL"
"CP2602","CP2602_620","Vg72",NA,620,6,20,"6","GHC2501_462_SL"
"CP2602","CP2602_621","PI 664533","US-1138",621,6,21,"6","GRIN_PI664533_2026"
"CP2602","CP2602_622","TVu-16408",NA,622,6,22,"6","GHC2501_311_SL"
"CP2602","CP2602_623","TVu-16304",NA,623,6,23,"6","GHC2501_307_SL"
"CP2602","CP2602_624","TVu-9749",NA,624,6,24,"6","GHC2501_421_SL"
"CP2602","CP2602_625","TVu-9651",NA,625,6,25,"6","GHC2501_418_SL"
"CP2602","CP2602_701","Check2","Top Pick Pinkeye Pea",701,7,1,"7","Hoss_TopPickPinkeyePea_2024"
"CP2602","CP2602_702","PI 664522","Charleston Nemagreen",702,7,2,"7","GRIN_PI664522_2026"
"CP2602","CP2602_703","TVu-8072",NA,703,7,3,"7","GHC2501_385_SL"
